flw_count,id,name,novels,score
376,2059163,一只白空空,"[{'nid': '7072571', 'pub_date': '2022-07-09 15:42:01'}, {'nid': '6494947', 'pub_date': '2023-01-15 13:00:00'}, {'nid': '4431673', 'pub_date': '2022-07-12 06:00:00'}, {'nid': '4720252', 'pub_date': '2020-04-06 11:38:51'}, {'nid': '5651505', 'pub_date': '2021-04-05 20:14:24'}, {'nid': '6558418', 'pub_date': '2022-04-26 19:00:00'}, {'nid': '5765537', 'pub_date': '2021-05-14 19:11:22'}, {'nid': '4343401', 'pub_date': '2019-09-06 20:43:41'}]",2.1亿
285,4980740,萨摩耶摇尾巴,"[{'nid': '7234474', 'pub_date': '2023-01-26 12:00:00'}, {'nid': '7153870', 'pub_date': '2022-07-27 16:37:43'}]",1.1亿
1333,4672470,Morisawa,"[{'nid': '6854399', 'pub_date': '2023-01-22 15:00:00'}, {'nid': '6832237', 'pub_date': '2022-05-25 18:00:00'}, {'nid': '6754955', 'pub_date': '2022-04-10 12:00:01'}]",4.8亿
895,2049300,寂寂如雪,"[{'nid': '5187711', 'pub_date': '2023-01-10 20:42:50'}, {'nid': '5177055', 'pub_date': '2022-04-18 17:10:00'}, {'nid': '5015479', 'pub_date': '2020-09-01 23:52:11'}, {'nid': '3233687', 'pub_date': '2017-06-23 08:55:38'}]",3.2亿
8828,2479512,时千辞,"[{'nid': '6561570', 'pub_date': '2023-01-22 12:00:00'}, {'nid': '6191294', 'pub_date': '2022-04-22 12:00:00'}, {'nid': '5728396', 'pub_date': '2021-08-24 17:00:00'}, {'nid': '4783288', 'pub_date': '2020-08-18 21:00:00'}, {'nid': '4903315', 'pub_date': '2021-03-25 19:30:00'}, {'nid': '4520706', 'pub_date': '2020-04-14 09:30:00'}]",32.8亿
219,4963749,拉弥亚看不见乌托邦,"[{'nid': '7395677', 'pub_date': '2023-01-29 12:00:00'}, {'nid': '7132504', 'pub_date': '2022-07-22 22:01:48'}]",1.2亿
2693,2476142,宴时陈羡,"[{'nid': '7573151', 'pub_date': '2023-01-10 21:00:00'}, {'nid': '5036044', 'pub_date': '2021-11-29 12:00:00'}, {'nid': '4831648', 'pub_date': '2021-06-03 00:00:00'}, {'nid': '4343783', 'pub_date': '2020-06-07 12:20:01'}, {'nid': '5243303', 'pub_date': '2022-09-21 18:59:59'}, {'nid': '5063156', 'pub_date': '2022-07-25 23:33:33'}, {'nid': '4750396', 'pub_date': '2022-03-28 23:59:59'}, {'nid': '4894679', 'pub_date': '2020-10-19 19:32:33'}, {'nid': '4109219', 'pub_date': '2019-04-07 16:02:16'}]",7.5亿
304,4431260,奶油小鹅,"[{'nid': '7278273', 'pub_date': '2023-02-02 21:00:00'}, {'nid': '7507947', 'pub_date': '2022-11-18 21:00:00'}, {'nid': '6688757', 'pub_date': '2022-08-19 20:00:00'}, {'nid': '6444515', 'pub_date': '2022-03-07 20:00:00'}]",1.1亿
7702,3304413,云劫,"[{'nid': '5088503', 'pub_date': '2023-01-26 12:00:00'}, {'nid': '5088489', 'pub_date': '2020-10-04 12:00:00'}, {'nid': '7003935', 'pub_date': '2022-10-04 12:00:00'}, {'nid': '5088496', 'pub_date': '2022-02-04 12:00:30'}, {'nid': '5500918', 'pub_date': '2021-05-06 12:00:00'}, {'nid': '6055479', 'pub_date': '2021-11-10 12:00:00'}, {'nid': '5272015', 'pub_date': '2021-03-02 12:00:00'}, {'nid': '5093030', 'pub_date': '2022-06-03 12:00:30'}, {'nid': '5239871', 'pub_date': '2020-11-27 12:00:00'}, {'nid': '7173928', 'pub_date': '2022-08-19 12:00:30'}, {'nid': '5275152', 'pub_date': '2021-03-19 12:00:00'}]",47.7亿
3051,3250451,金玉满庭,"[{'nid': '6524491', 'pub_date': '2023-01-19 12:00:00'}, {'nid': '5545007', 'pub_date': '2021-12-24 21:00:00'}, {'nid': '5031030', 'pub_date': '2020-07-27 14:46:03'}, {'nid': '5250087', 'pub_date': '2021-01-17 20:30:00'}, {'nid': '5112674', 'pub_date': '2021-05-11 19:35:00'}, {'nid': '5117892', 'pub_date': '2020-08-22 22:07:41'}]",8.4亿
350,2618598,猫咪鱼池,"[{'nid': '6960205', 'pub_date': '2023-02-04 17:00:00'}, {'nid': '5302691', 'pub_date': '2022-11-05 00:00:00'}, {'nid': '4453993', 'pub_date': '2022-04-01 00:00:00'}, {'nid': '5323138', 'pub_date': '2021-10-18 18:00:00'}, {'nid': '5321434', 'pub_date': '2020-11-29 14:36:45'}, {'nid': '4458685', 'pub_date': '2021-03-24 00:00:00'}, {'nid': '4425175', 'pub_date': '2020-10-28 18:00:00'}, {'nid': '5310540', 'pub_date': '2022-02-04 21:00:00'}, {'nid': '6783148', 'pub_date': '2022-12-18 00:52:56'}, {'nid': '6988298', 'pub_date': '2022-08-02 00:48:00'}, {'nid': '5258312', 'pub_date': '2020-10-27 11:44:03'}, {'nid': '4320127', 'pub_date': '2019-08-21 02:13:19'}, {'nid': '4357922', 'pub_date': '2019-12-31 21:50:55'}]",2.8亿
6382,1775182,爱小说的宅叶子,"[{'nid': '4059939', 'pub_date': '2020-06-12 21:00:00'}, {'nid': '4030557', 'pub_date': '2019-04-19 21:00:01'}, {'nid': '4998961', 'pub_date': '2022-05-10 21:00:00'}, {'nid': '6668001', 'pub_date': '2023-01-01 09:53:48'}, {'nid': '7664008', 'pub_date': '2023-01-01 09:54:00'}, {'nid': '3603994', 'pub_date': '2018-07-26 20:00:00'}, {'nid': '3614575', 'pub_date': '2019-04-07 18:10:01'}, {'nid': '3232641', 'pub_date': '2017-09-17 01:03:04'}, {'nid': '3403907', 'pub_date': '2017-11-19 01:57:00'}, {'nid': '3202008', 'pub_date': '2017-06-02 20:00:00'}, {'nid': '3370719', 'pub_date': '2018-06-11 01:56:00'}, {'nid': '3646651', 'pub_date': '2019-02-11 09:00:01'}, {'nid': '2731908', 'pub_date': '2016-04-07 00:10:30'}]",30.9亿
2493,3455384,饼鸽鸽,"[{'nid': '6915373', 'pub_date': '2023-01-02 22:09:26'}, {'nid': '6396893', 'pub_date': '2022-07-02 11:01:10'}, {'nid': '5954995', 'pub_date': '2021-12-21 06:00:01'}, {'nid': '5739632', 'pub_date': '2021-06-30 09:00:00'}]",8.7亿
96197,1923880,三千大梦叙平生,"[{'nid': '5515791', 'pub_date': '2023-01-14 22:10:00'}, {'nid': '6576337', 'pub_date': '2022-02-27 06:10:07'}, {'nid': '4641440', 'pub_date': '2020-07-23 05:53:00'}, {'nid': '4343791', 'pub_date': '2020-02-01 01:31:30'}, {'nid': '4033351', 'pub_date': '2019-06-27 20:00:00'}, {'nid': '3902137', 'pub_date': '2019-01-26 15:00:00'}, {'nid': '3442572', 'pub_date': '2018-09-08 12:30:00'}, {'nid': '3442268', 'pub_date': '2018-04-18 17:00:00'}, {'nid': '3366380', 'pub_date': '2017-12-03 12:00:00'}, {'nid': '3275563', 'pub_date': '2018-12-04 21:00:00'}, {'nid': '3319694', 'pub_date': '2017-09-12 13:45:00'}, {'nid': '3179578', 'pub_date': '2017-05-20 14:40:00'}, {'nid': '3179573', 'pub_date': '2017-07-23 14:00:00'}, {'nid': '3038951', 'pub_date': '2017-01-07 10:50:00'}, {'nid': '3121347', 'pub_date': '2017-03-20 17:30:00'}, {'nid': '3561640', 'pub_date': '2018-09-06 00:56:30'}, {'nid': '3119869', 'pub_date': '2017-03-06 17:36:21'}, {'nid': '2979444', 'pub_date': '2016-11-11 20:11:49'}]",352.9亿
198,4508160,身健且加餐,"[{'nid': '6639972', 'pub_date': '2022-03-10 15:08:12'}, {'nid': '6545130', 'pub_date': '2022-02-07 23:09:35'}]",2.2亿
73,5310501,哆啦A洛,"[{'nid': '7583660', 'pub_date': '2022-12-05 00:30:53'}]",5836.5万
30900,1784123,慕吱,"[{'nid': '7527696', 'pub_date': '2023-01-23 20:00:00'}, {'nid': '4845279', 'pub_date': '2021-11-30 20:00:00'}, {'nid': '3481552', 'pub_date': '2020-02-22 20:00:00'}, {'nid': '3984920', 'pub_date': '2021-07-26 20:00:00'}, {'nid': '3069898', 'pub_date': '2018-05-29 20:00:00'}, {'nid': '3963886', 'pub_date': '2020-12-27 20:00:00'}, {'nid': '4422225', 'pub_date': '2022-10-17 20:00:00'}, {'nid': '4213498', 'pub_date': '2022-08-07 19:00:00'}, {'nid': '6558145', 'pub_date': '2022-05-03 20:00:00'}, {'nid': '4621989', 'pub_date': '2020-05-30 20:00:00'}, {'nid': '3235261', 'pub_date': '2017-10-24 20:00:00'}, {'nid': '4014494', 'pub_date': '2019-06-30 20:00:00'}, {'nid': '3034288', 'pub_date': '2019-03-04 20:00:00'}, {'nid': '3133267', 'pub_date': '2017-04-03 20:00:00'}, {'nid': '2744597', 'pub_date': '2016-04-21 14:54:56'}, {'nid': '3162013', 'pub_date': '2018-01-23 20:00:00'}, {'nid': '3496456', 'pub_date': '2018-08-28 20:00:00'}, {'nid': '3527038', 'pub_date': '2018-12-04 20:00:00'}, {'nid': '4342358', 'pub_date': '2019-09-05 22:25:00'}, {'nid': '3992572', 'pub_date': '2019-10-07 20:00:00'}, {'nid': '2903033', 'pub_date': '2017-01-07 17:17:17'}, {'nid': '2741509', 'pub_date': '2016-04-17 17:00:00'}]",97.7亿
826,3243874,轻阖,"[{'nid': '6515180', 'pub_date': '2023-01-07 18:00:00'}, {'nid': '6325406', 'pub_date': '2022-03-20 21:00:00'}, {'nid': '5562758', 'pub_date': '2021-04-17 00:00:00'}, {'nid': '5721546', 'pub_date': '2021-11-19 21:00:00'}, {'nid': '5354575', 'pub_date': '2020-12-16 01:52:18'}, {'nid': '5340663', 'pub_date': '2020-12-09 01:59:41'}, {'nid': '5023742', 'pub_date': '2020-07-24 23:54:41'}, {'nid': '5686496', 'pub_date': '2021-04-11 13:28:50'}, {'nid': '5463692', 'pub_date': '2021-01-29 19:21:54'}, {'nid': '5230596', 'pub_date': '2020-10-12 00:47:55'}, {'nid': '7535101', 'pub_date': '2022-11-18 18:00:00'}, {'nid': '5064529', 'pub_date': '2020-08-07 00:11:45'}, {'nid': '5124509', 'pub_date': '2020-08-24 23:51:09'}]",4.5亿
3742,4331564,云十九,"[{'nid': '7229937', 'pub_date': '2023-01-13 03:00:00'}, {'nid': '6726680', 'pub_date': '2022-07-06 23:09:00'}, {'nid': '6336442', 'pub_date': '2022-02-01 18:00:00'}, {'nid': '6303295', 'pub_date': '2021-11-03 10:32:55'}, {'nid': '6299979', 'pub_date': '2021-11-01 11:50:01'}]",13.7亿
483,2870284,锦桑桑,"[{'nid': '6395338', 'pub_date': '2023-01-21 21:00:00'}, {'nid': '4857845', 'pub_date': '2021-12-05 09:00:00'}, {'nid': '4780397', 'pub_date': '2021-08-08 18:00:00'}, {'nid': '5487623', 'pub_date': '2022-10-26 09:00:00'}, {'nid': '5434895', 'pub_date': '2021-01-21 18:00:00'}, {'nid': '5551521', 'pub_date': '2021-03-04 00:10:00'}]",3.7亿
197,5365873,林秋见,"[{'nid': '7683370', 'pub_date': '2023-01-11 12:30:00'}]",1.3亿
1094,1768908,大嘘菊,"[{'nid': '3251754', 'pub_date': '2023-01-14 18:00:00'}, {'nid': '2830906', 'pub_date': '2022-01-08 12:00:00'}, {'nid': '3450519', 'pub_date': '2018-10-08 12:00:00'}, {'nid': '2931792', 'pub_date': '2016-09-18 17:06:03'}, {'nid': '2830964', 'pub_date': '2017-07-01 11:40:00'}, {'nid': '2720590', 'pub_date': '2016-06-29 15:20:00'}, {'nid': '4468466', 'pub_date': '2020-03-09 22:40:00'}]",2.5亿
