aid,author,genre,nid,rank,rank_date,tags,title,vip_date,wd_count,xx,yc
2049300,寂寂如雪,原创-言情-架空历史-爱情,5187711,1,2023-02-12,"情有独钟,穿越时空",穿成国漫里的绝色美人,2023-02-09 23:52:15,9.15万,言情,1
2479512,时千辞,原创-百合-近代现代-爱情,6561570,2,2023-02-12,"年下,都市情缘,破镜重圆,天作之合",对等关系,2023-02-09 16:22:22,8.89万,百合,1
5365873,林秋见,原创-纯爱-近代现代-爱情,7683370,3,2023-02-12,"幻想空间,甜文,校园,萌宠",小猫咪被直男室友看上了,2023-02-09 03:12:05,10.56万,纯爱,1
1768908,大嘘菊,原创-言情-架空历史-爱情,3251754,4,2023-02-12,"情有独钟,穿越时空,女配,穿书",虐文女配的101种be（快穿）,2023-02-09 18:25:00,8.36万,言情,1
4037873,泩沙,原创-言情-近代现代-爱情,6301472,5,2023-02-12,"娱乐圈,甜文,穿书,直播",和顶流继子爆红玄学综艺,2023-02-09 19:58:23,6.08万,言情,1
1616876,苏尔酱,原创-纯爱-架空历史-爱情,6793430,6,2023-02-12,"生子,宫廷侯爵,情有独钟,穿书",穿书之心动不如胎动,2023-02-09 16:15:39,14.09万,纯爱,1
3316883,西枫,原创-纯爱-幻想未来-爱情,6073287,7,2023-02-12,"天作之合,星际,甜文,爽文",文明起源[虫族],2023-02-09 00:00:15,11.29万,纯爱,1
3250451,金玉满庭,衍生-言情-古色古香-东方衍生,6524491,1,2023-02-13,"强强,历史衍生,爽文,基建",和秦始皇一起造反,2023-02-10 19:00:00,9.91万,言情,2
1923880,三千大梦叙平生,原创-纯爱-近代现代-剧情,5515791,2,2023-02-13,"系统,快穿",这个反派我养了！[快穿],2023-02-10 10:47:00,11.37万,纯爱,1
3894827,柒喵是个坏喵,原创-纯爱-近代现代-爱情,7332801,3,2023-02-13,"都市情缘,豪门世家,破镜重圆,娱乐圈",替身受死了的那年,2023-02-10 00:00:00,9.19万,纯爱,1
2163331,珊瑚与夏天,原创-言情-架空历史-爱情,6362177,4,2023-02-13,"穿越时空,甜文,爽文",真千金和反派首辅HE了,2023-02-10 00:00:00,9.38万,言情,1
2059163,一只白空空,衍生-言情-近代现代-东方衍生,6494947,1,2023-02-16,"死神,综漫,文野,柯南",米花小学生日记,2023-02-13 06:00:00,9.34万,言情,2
2618598,猫咪鱼池,原创-言情-近代现代-剧情,6960205,2,2023-02-16,"娱乐圈,系统,爽文,萌宠",退圈后我的萌宠农场爆火了,2023-02-13 13:39:33,10.2万,言情,1
4963749,拉弥亚看不见乌托邦,衍生-言情-近代现代-轻小说,7395677,3,2023-02-16,"综漫,少年漫,爽文,柯南",米花町的雷神一家子[综原神],2023-02-13 14:00:00,8.67万,言情,2
