aid,author,date,genre,nid,rank,tags,title,vip_date,wd_count,xx,yc
3304413,云劫,2023-02-12,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
2476142,宴时陈羡,2023-02-12,原创-言情-架空历史-爱情,7573151,2,打脸,映儿,2023-02-12 19:53:27,9.84万,言情,1
4980740,萨摩耶摇尾巴,2023-02-12,原创-纯爱-近代现代-爱情,7234474,3,"豪门世家,青梅竹马,甜文,穿书",认回亲爹后我在娃综爆红了,2023-02-12 00:00:00,9.38万,纯爱,1
3304413,云劫,2023-02-15,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
2476142,宴时陈羡,2023-02-15,原创-言情-架空历史-爱情,7573151,2,打脸,映儿,2023-02-12 19:53:27,9.84万,言情,1
3304413,云劫,2023-02-14,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
2476142,宴时陈羡,2023-02-14,原创-言情-架空历史-爱情,7573151,2,打脸,映儿,2023-02-12 19:53:27,9.84万,言情,1
4672470,Morisawa,2023-02-12,原创-纯爱-幻想未来-爱情,6854399,4,"强强,穿越时空,异能,末世",渡劫大佬在异世咸鱼[穿书],2023-02-12 00:00:00,8.97万,纯爱,1
1775182,爱小说的宅叶子,2023-02-12,衍生-言情-古色古香-东方衍生,7664008,5,"清穿,宫斗,历史衍生,爽文",清穿之赏花升职,2023-02-12 00:00:01,9.05万,言情,2
3455384,饼鸽鸽,2023-02-12,原创-百合-近代现代-爱情,6915373,6,"都市情缘,情有独钟,欢喜冤家,近水楼台",我是前任影后暗恋的白月光,2023-02-12 01:35:59,9.99万,百合,1
5310501,哆啦A洛,2023-02-12,原创-纯爱-幻想未来-爱情,7583660,7,"打脸,甜文,未来架空,爽文",受伤后发现全家都是大佬,2023-02-12 04:00:44,24.73万,纯爱,1
4508160,身健且加餐,2023-02-12,衍生-无CP-架空历史-东方衍生,6639972,8,"综漫,少女漫,穿越时空,成长",审神者今天也是未成年,2023-02-12 18:00:00,8.94万,无CP,2
3304413,云劫,2023-02-13,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
3304413,云劫,2023-02-11,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
3304413,云劫,2023-02-09,原创-纯爱-幻想未来-科幻,5088503,1,"情有独钟,天之骄子,穿越时空,星际",他穿成了帝国瑰宝,2023-02-12 00:00:30,9.95万,纯爱,1
2476142,宴时陈羡,2023-02-09,原创-言情-架空历史-爱情,7573151,2,打脸,映儿,2023-02-12 19:53:27,9.84万,言情,1
4980740,萨摩耶摇尾巴,2023-02-09,原创-纯爱-近代现代-爱情,7234474,3,"豪门世家,青梅竹马,甜文,穿书",认回亲爹后我在娃综爆红了,2023-02-12 00:00:00,9.38万,纯爱,1
4672470,Morisawa,2023-02-09,原创-纯爱-幻想未来-爱情,6854399,4,"强强,穿越时空,异能,末世",渡劫大佬在异世咸鱼[穿书],2023-02-12 00:00:00,8.97万,纯爱,1
1775182,爱小说的宅叶子,2023-02-09,衍生-言情-古色古香-东方衍生,7664008,5,"清穿,宫斗,历史衍生,爽文",清穿之赏花升职,2023-02-12 00:00:01,9.05万,言情,2
4980740,萨摩耶摇尾巴,2023-02-15,原创-纯爱-近代现代-爱情,7234474,3,"豪门世家,青梅竹马,甜文,穿书",认回亲爹后我在娃综爆红了,2023-02-12 00:00:00,9.38万,纯爱,1
4672470,Morisawa,2023-02-15,原创-纯爱-幻想未来-爱情,6854399,4,"强强,穿越时空,异能,末世",渡劫大佬在异世咸鱼[穿书],2023-02-12 00:00:00,8.97万,纯爱,1
1775182,爱小说的宅叶子,2023-02-15,衍生-言情-古色古香-东方衍生,7664008,5,"清穿,宫斗,历史衍生,爽文",清穿之赏花升职,2023-02-12 00:00:01,9.05万,言情,2
