aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2479512,时千辞,"9,026",26,"2,609",0,2023-01-22,近代现代,,1,1,10428,弱攻强受，沈老师的追妻火葬场,6561570,16542,,0,正剧,"年下,都市情缘,破镜重圆,天作之合",对等关系,2023-02-16,"108,659",百合,原创
1768908,大嘘菊,"4,157",28,796,0,2023-01-14,架空历史,,1,1,3699,狗血梗大杂烩,3251754,110813,,0,轻松,"情有独钟,穿越时空,女配,穿书",虐文女配的101种be（快穿）,2023-02-16,"100,909",言情,原创
5365873,林秋见,"6,969",37,888,0,2023-01-11,近代现代,,1,1,9315,每天都被rua尾巴,7683370,86049,,0,轻松,"幻想空间,甜文,校园,萌宠",小猫咪被直男室友看上了,2023-02-16,"147,657",纯爱,原创
2479512,时千辞,"39,053",95,"2,966",0,2020-04-14,近代现代,,1,1,35629,嗯？不是说很甜很听话吗？,4520706,10287,9.5,0,轻松,"情有独钟,甜文,校园",女朋友每天都要人哄,2022-12-31,"343,386",百合,原创
2479512,时千辞,"18,861",193,"14,452",0,2022-04-22,近代现代,,1,1,31880,双向救赎，追妻火葬场,6191294,6398,9.8,0,正剧,"都市情缘,破镜重圆,天作之合,天之骄子",服软,2023-01-23,"852,449",百合,原创
1768908,大嘘菊,"9,521",98,"1,164",0,2022-01-08,架空历史,,1,1,5766,男主以身相许男二追妻火葬场,2830906,64074,8.7,0,轻松,"情有独钟,穿越时空",走失的郡主回来了,2022-04-19,"348,185",言情,原创
1768908,大嘘菊,"4,419",72,623,0,2018-10-08,架空历史,,1,1,1080,披着虐恋外衣的小甜文,3450519,177079,9.3,0,轻松,"布衣生活,虐恋情深,阴差阳错,穿越时空",我替他的白月光复活了,2023-02-04,"231,212",言情,原创
1768908,大嘘菊,"7,097",95,"1,218",0,2017-07-01,架空历史,,1,1,1797,男主毒狠渣,2830964,157890,8.7,0,轻松,"近水楼台,甜文,市井生活",花容月貌,2022-01-24,"349,076",言情,原创
1768908,大嘘菊,"10,645",56,278,0,2016-06-29,架空历史,,1,1,929,女追男,2720590,178951,8.9,0,轻松,"快穿,甜文,女配",一定要和主角在一起,2022-04-16,"155,644",言情,原创
1768908,大嘘菊,546,9,66,0,2020-03-09,近代现代,,1,0,93,前期女追男，后期男追女,4468466,195383,,0,轻松,"情有独钟,虐恋情深,阴差阳错,娱乐圈",无罪,2020-04-26,"33,215",言情,原创
3316883,西枫,"43,830",246,"8,958",0,2021-07-12,架空历史,,1,1,24828,召唤玩家，重建大魏！,5674918,17306,9.0,0,轻松,"天作之合,穿越时空,爽文,基建",召唤玩家，重建大魏,2022-07-19,"847,845",纯爱,原创
3316883,西枫,"6,476",66,"1,621",0,2021-02-24,近代现代,,1,1,4149,臭屁绿茶粘人精&佛系护短抠门精,5120544,74396,9.4,0,正剧,"年下,幻想空间,情有独钟,甜文",全世界你最可爱,2021-05-08,"233,514",纯爱,原创
3316883,西枫,"1,495",7,27,0,2021-03-15,近代现代,,1,0,169,瓜崽的成长日记,5603977,暂无排,8.4,0,轻松,"年下,天作之合,甜文",瓜崽日记,2021-05-07,"8,522",纯爱,原创
3316883,西枫,"117,935",147,"14,065",0,2020-08-18,架空历史,,1,1,48778,穿进西幻游戏开商场！,5104362,11352,8.6,0,正剧,"异世大陆,爽文,西幻,基建",我在西幻开商场,2022-08-31,"519,558",纯爱,原创
3316883,西枫,"4,348",38,651,0,2023-01-18,幻想未来,,1,1,6468,穿成虫王后我做起了代购！,6073287,70686,,0,轻松,"天作之合,星际,甜文,爽文",文明起源[虫族],2023-02-16,"149,070",纯爱,原创
3250451,金玉满庭,"32,774",114,"2,910",0,2020-07-27,近代现代,,1,1,9409,治愈超级英雄,5031030,21832,9.0,0,轻松,"英美衍生,强强,甜文,超级英雄",[综英美]我只是一个无辜的辅助,2020-10-07,"445,011",言情,衍生
3250451,金玉满庭,"26,773",34,"4,460",0,2023-01-19,古色古香,,1,1,28329,我造反的时候不知道他是嬴政啊,6524491,34244,,0,轻松,"强强,历史衍生,爽文,基建",和秦始皇一起造反,2023-02-16,"114,881",言情,衍生
2479512,时千辞,"38,579",93,"4,844",0,2021-03-25,近代现代,,1,1,23528,偏不,4903315,16616,9.6,0,轻松,"都市情缘,天作之合,天之骄子,甜文",说了别惹我,2022-11-02,"365,099",百合,原创
3250451,金玉满庭,"45,392",143,"6,893",0,2021-12-24,架空历史,,1,1,19366,通天弟子，敖丙师父，大写的惨,5545007,34447,9.1,0,轻松,"洪荒,仙侠修真,爽文,东方玄幻",苟活性命于洪荒[洪荒],2023-01-24,"538,770",言情,衍生
3250451,金玉满庭,"28,061",137,"5,125",0,2021-01-17,架空历史,,1,1,12315,你们都是我至亲至爱的工具人,5250087,52558,9.3,0,轻松,"强强,甜文",师姐她画风清奇［沙雕］,2022-07-18,"565,983",言情,原创
1616876,苏尔酱,"7,995",37,487,0,2022-12-21,架空历史,,1,1,4885,我心匪石，口嫌体直,6793430,3954,9.1,0,轻松,"生子,宫廷侯爵,情有独钟,穿书",穿书之心动不如胎动,2023-02-15,"140,869",纯爱,原创
1616876,苏尔酱,"27,276",66,"1,675",0,2018-01-11,架空历史,,1,1,8260,愣着做什么，滚去给本王暖被窝,2863940,21250,9.7,0,轻松,"强强,欢喜冤家,穿书",反派总喜欢跟主角互撩,2022-04-07,"242,121",纯爱,原创
3250451,金玉满庭,"7,044",102,"1,167",0,2021-05-11,近代现代,,1,1,3033,东西分为有用和没用,5112674,77577,8.7,0,轻松,"异能,快穿,穿书,爽文",只想逼着反派学习[快穿］,2022-08-15,"343,851",言情,原创
3250451,金玉满庭,"27,027",120,"1,498",0,2020-08-22,古色古香,,1,1,7731,系统：这个画风不对……,5117892,93773,8.8,0,轻松,"武侠,系统,甜文,爽文",[综武侠]画风不对,2021-04-15,"417,860",言情,衍生
1616876,苏尔酱,"4,688",50,597,0,2022-04-07,架空历史,,1,1,3296,我知错了，下次还敢。,4206605,3248,9.7,0,轻松,"年下,天之骄子,重生,穿书",在撩弯的边缘疯狂试探[穿书],2022-06-10,"200,018",纯爱,原创
1768908,大嘘菊,"70,682",94,"3,207",0,2016-09-18,架空历史,,1,1,8550,各种性格快穿攻略男主,2931792,50264,8.5,0,轻松,"穿越时空,女配,甜文,快穿",他心有白月光,2017-06-18,"288,710",言情,原创
2479512,时千辞,"34,690",130,"7,435",0,2021-08-24,近代现代,,1,1,39614,人人都觉得我们不可能分手,5728396,7242,9.5,0,正剧,"都市情缘,天作之合,天之骄子,励志人生",她先惹我的,2022-12-31,"507,889",百合,原创
1616876,苏尔酱,"26,175",72,"1,846",0,2018-07-23,架空历史,,1,1,7931,今晚吃鱼，大吉大利！,3462213,1856,9.9,0,轻松,"强强,天之骄子,青梅竹马,重生",不准摸我的鱼尾巴[重生],2022-04-07,"314,512",纯爱,原创
1616876,苏尔酱,"9,470",42,686,0,2019-09-05,古色古香,,1,1,6407,百因必有果，沙雕欢乐多,3863732,4451,9.1,0,轻松,"灵异神怪,欢喜冤家,重生,传奇",强撩恶霸后每天都是修罗场,2019-10-10,"160,119",纯爱,原创
1616876,苏尔酱,"16,902",87,"1,853",0,2016-11-17,古色古香,,1,1,3739,这只骚得合不拢tui的偷儿,2614233,4864,9.6,0,轻松,"强强,情有独钟,乔装改扮,穿越时空",神偷，你这是在撩我,2018-12-29,"333,266",纯爱,原创
1616876,苏尔酱,"10,360",143,618,0,2015-07-20,架空历史,,1,1,856,论男神们如何花式探案抢女主,2511371,12690,暂无评,0,正剧,"奇幻魔幻,情有独钟,异世大陆,穿越时空",这个罪人有点神,2018-09-06,"553,775",言情,原创
1616876,苏尔酱,71,3,0,0,2023-01-12,架空历史,,1,0,13,强迫症好难受,7703338,暂无排,暂无评,0,轻松,"强强,年下,穿书",穿书之反派真会撩,2023-01-30,"32,276",纯爱,原创
1616876,苏尔酱,"1,031",3,11,0,2015-07-30,,,1,0,36,花妖与种花女的爱恨情仇,2522498,暂无排,10.0,0,未知,"布衣生活,前世今生,天作之合",短篇·莲妖花铭,2016-01-25,"9,202",,
1616876,苏尔酱,654,4,8,0,2015-07-30,,,1,0,22,错出一场美丽邂逅,2522572,暂无排,10.0,0,未知,"奇幻魔幻,欢喜冤家,因缘邂逅",短篇·相思奇缘,2015-08-01,"9,144",,
1616876,苏尔酱,"1,181",1,1,0,2015-11-23,,,1,0,13,评论,2613146,暂无排,暂无评,0,未知,"强强,异世大陆,快穿",评牵梦《大漠月影》,2015-11-26,"2,210",,
4037873,泩沙,"47,108",84,"2,970",0,2021-12-26,近代现代,,1,1,25483,精分夫妇是真的！进来吃糖！,6346740,1208,8.3,0,爆笑,"豪门世家,情有独钟,天之骄子,娱乐圈",在网恋综艺装穷后翻车了,2023-02-11,"350,149",言情,原创
4037873,泩沙,"4,576",19,179,0,2022-12-23,近代现代,,1,1,3661,山神后妈，捉鬼爆红,6301472,3653,,0,轻松,"时代奇缘,励志人生,甜文",和顶流继子爆红玄学综艺,2023-02-15,"83,162",言情,原创
4037873,泩沙,"16,923",51,"1,135",0,2022-06-27,幻想未来,,1,1,6769,动物恋综直播间。,6389930,19956,8.2,0,轻松,"豪门世家,天之骄子,娱乐圈",毛绒绒的恋综直播间,2022-10-06,"181,650",言情,原创
2049300,寂寂如雪,"13,066",29,"1,140",0,2023-01-10,架空历史,,1,1,15689,国漫中建模最好看的人是我夫君,5187711,126139,,0,正剧,"情有独钟,穿越时空",穿成国漫里的绝色美人,2023-02-16,"112,567",言情,原创
2049300,寂寂如雪,"24,502",75,"1,751",0,2022-04-18,近代现代,,1,1,10284,贵妃母子玩转民国文,5177055,133520,8.7,0,轻松,"生子,幻想空间,穿越时空,穿书",贵妃母子民国文生存手札,2022-07-15,"500,298",言情,原创
4037873,泩沙,"23,281",76,"2,117",0,2022-09-22,近代现代,,1,1,12057,神颜巨富，老公失踪。,6446121,3688,7.6,0,轻松,"时代奇缘,天之骄子",病弱长嫂拒绝躺平,2023-02-11,"350,679",言情,原创
2049300,寂寂如雪,"36,339",108,"1,963",0,2020-09-01,近代现代,,1,1,9773,戏精母女玩转年代文,5015479,81081,6.8,0,轻松,"时代奇缘,穿书",戏精母女年代文生存手札,2021-10-18,"452,141",言情,原创
2049300,寂寂如雪,"10,456",100,280,0,2017-06-23,近代现代,,1,1,1883,原慕觉得，他中了一种叫楚词的毒,3233687,96069,8.7,0,轻松,"生子,幻想空间,娱乐圈,校园",儿子穿回了我高一时候,2020-08-17,"242,742",言情,原创
1923880,三千大梦叙平生,"23,076",24,"9,988",0,2023-01-14,近代现代,,1,1,26446,为了不孤单,5515791,13252,,0,轻松,"系统,快穿",这个反派我养了！[快穿],2023-02-16,"143,766",纯爱,原创
3894827,柒喵是个坏喵,"2,215",38,644,0,2023-01-10,近代现代,,1,1,5646,他不会再回头了,7332801,119618,,0,轻松,"都市情缘,豪门世家,破镜重圆,娱乐圈",替身受死了的那年,2023-02-16,"114,517",纯爱,原创
1923880,三千大梦叙平生,"51,560",154,"26,969",0,2022-02-27,近代现代,,1,1,66551,我给你一个从未有过信仰人的忠诚,6576337,5503,9.8,0,正剧,"强强,幻想空间,无限流",不要睁眼[无限],2022-06-07,"692,696",纯爱,原创
1923880,三千大梦叙平生,"273,734",161,"69,709",0,2020-07-23,架空历史,,1,1,159601,少年侠气，生死同。,4641440,4287,9.8,0,轻松,,殿下让我还他清誉,2022-05-09,"831,736",纯爱,原创
1923880,三千大梦叙平生,"201,410",140,"63,540",0,2019-06-27,近代现代,,1,1,113931,少年多无畏，不和光，不同尘,4033351,1053,9.8,0,轻松,,不准影响我学习！,2021-02-12,"668,534",纯爱,原创
1923880,三千大梦叙平生,"270,960",119,"111,671",0,2019-01-26,近代现代,,1,1,174095,闭嘴，快点亲！,3902137,1069,9.6,0,轻松,"花季雨季,异能,甜文",不准跟我说话！,2020-11-17,"510,858",纯爱,原创
1923880,三千大梦叙平生,"205,562",118,"56,299",0,2018-09-08,近代现代,,1,1,92428,我知道你在想什么。,3442572,5739,9.1,0,正剧,"情有独钟,娱乐圈,甜文",我家经纪人会读心[娱乐圈],2019-01-27,"494,352",纯爱,原创
1923880,三千大梦叙平生,"446,009",152,"111,056",0,2018-04-18,近代现代,,1,1,179489,我来抱抱你呀^-^,3442268,4272,9.3,0,正剧,"重生,系统,快穿,穿书",这个炮灰我罩了！[快穿],2020-11-30,"778,211",纯爱,原创
2163331,珊瑚与夏天,"4,961",29,840,0,2023-01-14,架空历史,,1,1,5522,我离开后全家都追悔莫及,6362177,117163,,0,轻松,"穿越时空,甜文,爽文",真千金和反派首辅HE了,2023-02-16,"112,203",言情,原创
2163331,珊瑚与夏天,"90,614",266,"34,010",0,2022-04-23,架空历史,,1,1,62994,天庭女官升职日常,4752397,14169,8.8,0,轻松,"穿越时空,种田文,爽文,东方玄幻",仙界公务员升职手册,2022-12-07,"934,881",言情,原创
1923880,三千大梦叙平生,"277,653",108,"84,174",0,2020-02-01,近代现代,,1,1,129379,霍总，您好了吗？,4343791,4338,9.7,0,轻松,"幻想空间,豪门世家,娱乐圈,甜文",霍总让我还他名声[娱乐圈],2021-02-26,"526,899",纯爱,原创
2163331,珊瑚与夏天,"206,157",165,"25,782",0,2020-09-26,古色古香,,1,1,65395,我当团宠那些年,3972445,13169,9.0,0,轻松,"清穿,穿越时空,种田文,爽文",清穿之皇子的自我修养,2021-03-15,"639,979",言情,原创
2163331,珊瑚与夏天,"121,630",134,"5,174",0,2019-03-26,古色古香,,1,1,24942,我当团宠那些年,3942805,49872,8.6,0,轻松,"清穿,穿越时空,甜文,爽文",清穿之公主日常,2022-04-07,"467,691",言情,原创
2163331,珊瑚与夏天,"70,008",107,"6,977",0,2021-05-25,古色古香,,1,1,29309,三国第一关系户,5204708,25810,8.4,0,轻松,"天之骄子,种田文,历史衍生,爽文",三国贵女日常,2021-12-02,"414,088",言情,衍生
2163331,珊瑚与夏天,"34,911",104,"2,473",0,2021-11-22,架空历史,,1,1,13905,十八岁的我过上了退休生活,5813979,31055,8.4,0,轻松,"宫廷侯爵,天作之合,重生",嫁给未来皇帝后我咸鱼了,2022-03-09,"379,354",言情,原创
