aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2793914,三城旧伴,"7,835",26,336,0,2023-02-08,近代现代,,1,1,6394,名侦探：全都被我看透啦～,2023-02-27,2,7791954,181684,,2704.5万,轻松,"综漫,爽文,文野,咒回",当乱步在咒术片场,2023-02-26,"98,306",纯爱,衍生
3044844,日日复日日,"51,231",84,"4,707",0,2020-09-07,架空历史,,1,1,23231,系统每天都在劝说男主别杀我,0000-00-00,-1,4856763,38264,8.8,3.8亿,轻松,"仙侠修真,系统,甜文,穿书",我能听见你的系统音[伪穿书],2022-12-05,"269,225",言情,原创
3044844,日日复日日,"16,871",25,"2,614",0,2023-02-02,架空历史,,1,1,18425,被反派攻略的日日夜夜,2023-02-22,2,6218983,78551,,3亿,轻松,"仙侠修真,系统,甜文,穿书",当反派绑定了女主系统,2023-02-26,"119,907",言情,原创
3044844,日日复日日,"59,791",111,"6,426",0,2021-03-08,架空历史,,1,1,29834,男主心里全是和谐词,0000-00-00,-1,5291144,23301,8.8,5亿,轻松,"仙侠修真,女配,甜文,穿书",旁白它和谐词过分多[穿书],2023-02-25,"374,358",言情,原创
3044844,日日复日日,"230,476",86,"19,819",0,2021-06-29,架空历史,,1,1,120773,手把手教咸鱼魔尊当反派,0000-00-00,-1,4899493,19581,9.2,16.9亿,轻松,"仙侠修真,女配,甜文,爽文",替身女配看见弹幕后,2022-12-13,"311,058",言情,原创
2793914,三城旧伴,752,82,74,0,2020-12-25,架空历史,,1,0,258,迟钝徒弟x暗恋师尊,0000-00-00,-1,5372246,暂无排,10.0,1223.3万,轻松,"情有独钟,仙侠修真,甜文,穿书",剧情抢救无效,2021-05-02,"267,643",纯爱,原创
3044844,日日复日日,"100,660",136,"14,966",0,2022-01-03,架空历史,,1,1,66005,我在异界召唤中华神灵,0000-00-00,-1,6307210,16555,8.9,10.5亿,轻松,"天作之合,甜文,古典名著,穿书",我的神话体系和你们不一样,2022-10-08,"490,000",言情,衍生
3044844,日日复日日,"19,131",58,"2,639",0,2022-09-14,架空历史,,1,1,17840,腹有诗书气自华,0000-00-00,-1,7134756,1422,,2.9亿,轻松,"穿越时空,种田文,甜文,古典名著",我靠中华典籍横行异世界,2023-01-18,"210,716",言情,衍生
3044844,日日复日日,"4,864",5,358,0,2021-11-19,架空历史,,1,0,4510,我是攻略大佬文里的被穿原主,0000-00-00,-1,5237949,106064,,1亿,轻松,"天作之合,仙侠修真,重生,甜文",他们都知道我会被魂穿,2021-11-24,"16,411",言情,原创
3044844,日日复日日,"37,887",82,"2,169",0,2020-04-25,架空历史,,1,1,16195,菟丝花自立后，夫君求我缠着他,0000-00-00,-1,4781080,48511,8.9,2.8亿,轻松,"仙侠修真,女配,甜文,穿书",穿成男主的菟丝花前妻[穿书],2022-07-31,"271,700",言情,原创
3044844,日日复日日,"2,154",17,80,0,2020-04-28,架空历史,,1,0,120,预收文文案,0000-00-00,-1,4788405,287174,,5476万,轻松,,是种子呀,2022-09-02,"8,091",言情,原创
2849178,漂亮闪光,"3,798",27,404,0,2023-02-02,架空历史,,1,1,3448,河（hè）南表妹x切片表哥,2023-02-27,3,7159135,87519,,2321.8万,轻松,"宫廷侯爵,破镜重圆,天作之合,重生",窥燕（双重生）,2023-02-27,"87,038",言情,原创
4490937,达不溜歪,"1,123",25,756,0,2023-02-02,近代现代,,1,1,4063,假少爷被骗后心比石头硬（已开烧,2023-02-27,1,6743218,76138,,3297.9万,轻松,"豪门世家,虐恋情深,破镜重圆,爱情战争",真假少爷火葬场,2023-02-26,"103,960",纯爱,原创
2849178,漂亮闪光,"6,144",113,929,0,2022-09-15,架空历史,,1,1,5908,让天上的明月坠于脚下,0000-00-00,-1,6362939,36988,8.4,6329.6万,轻松,"破镜重圆,朝堂之上",折黛,2022-12-28,"384,311",言情,原创
2849178,漂亮闪光,"23,505",54,"4,561",0,2021-07-02,近代现代,,1,0,17517,你好我是HPNPC,0000-00-00,-1,4641745,22294,,1.6亿,轻松,"英美衍生,欢喜冤家,西方罗曼,甜文",[HP]救命我是斯莱特林NPC,2023-01-03,"177,330",言情,衍生
