aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
5361558,我算什么小饼干,"13,370",56,"5,078",0,2022-12-30,幻想未来,,1,1,11458,我之前是个人类,2023-02-17,3,7657542,25703,,1.4亿,轻松,"重生,甜文",虫族之渣虫觉醒笔记,2023-02-26,"212,547",纯爱,原创
1775974,梦里呓语,"82,682",134,"6,570",0,2019-12-28,近代现代,,1,1,20222,玄能救非，氪能改命！,0000-00-00,-1,3642584,23316,9.4,3.9亿,正剧,"英美衍生,系统,爽文,马甲文",氪金系统附身之后[综英美],2023-02-03,"656,407",言情,衍生
1775974,梦里呓语,"44,543",146,"2,920",0,2020-09-02,近代现代,,1,1,13688,快乐反手干掉狗男主们。,0000-00-00,-1,4079190,4781,,2.6亿,正剧,"女强,系统,快穿,爽文",虐文系统误绑了满级大佬,2023-02-11,"1,170,624",言情,原创
1775974,梦里呓语,"35,658",133,"2,216",0,2018-04-24,近代现代,,1,1,8330,爱是最牢不可破的屏障与誓言。,0000-00-00,-1,3565270,52564,9.0,1.7亿,正剧,"英美衍生,甜文,超级英雄,时尚流行",[综英美]天使之吻,2020-09-22,"464,035",言情,衍生
1775974,梦里呓语,"56,917",164,"6,084",0,2018-08-15,近代现代,,1,1,15354,一只橘猫引发的爱情故事。,0000-00-00,-1,3580333,23385,9.3,3.2亿,正剧,"英美衍生,灵异神怪,超级英雄,成长",大橘为重[综英美],2022-12-24,"649,106",言情,衍生
1775974,梦里呓语,"15,272",34,"3,462",0,2023-01-24,古色古香,,1,1,14770,在神话和红楼世界努力工作升职。,2023-02-17,2,3871848,27674,,2.3亿,正剧,"红楼梦,灵异神怪,古典名著,爽文",太虚幻境可持续发展报告,2023-02-27,"154,850",言情,衍生
1775974,梦里呓语,"22,378",100,"2,399",0,2019-01-02,古色古香,,1,1,9185,我受宠若惊地来了个当场懵逼。,0000-00-00,-1,2734715,17506,9.4,1.8亿,正剧,"江湖恩怨,天作之合,重生,成长",师姐说她非我不娶,2022-10-08,"432,533",百合,原创
1775974,梦里呓语,"12,140",86,752,0,2016-12-22,架空历史,,1,1,2299,请与我共度余生。,0000-00-00,-1,2956911,94890,9.4,6807.4万,正剧,"少女漫,情有独钟,前世今生,天之骄子",[综]与你山水相逢,2020-10-09,"288,022",言情,衍生
1775974,梦里呓语,"1,585",50,418,0,2022-09-05,近代现代,,1,1,2473,从没落王室到名留青史。,0000-00-00,-1,4059319,79741,,6393万,正剧,"西方罗曼,穿越时空,历史衍生,励志人生",女皇养成计划[历史],2023-01-08,"285,894",言情,衍生
1775974,梦里呓语,"8,399",57,832,0,2016-04-20,古色古香,,1,1,2462,我将我的爱化作世界送给你。,0000-00-00,-1,2734797,51087,8.8,6611.8万,正剧,"仙侠修真,励志人生,穿书,东方玄幻",原著跑偏十万里,2020-10-11,"191,374",百合,原创
1775974,梦里呓语,780,2,20,0,2018-05-22,架空历史,,1,0,205,傻白甜与玫瑰花。,0000-00-00,-1,2766226,125056,,2177.7万,轻松,"奇幻魔幻,异世大陆,成长,逆袭",我以坚守践行诺言,2018-07-02,"6,608",百合,原创
1775974,梦里呓语,"4,277",120,"1,289",0,2016-04-09,架空历史,,1,1,2353,阴谋阳谋，政治倾轧，魔法战争。,0000-00-00,-1,2733435,35058,9.6,8645.1万,正剧,"奇幻魔幻,天之骄子,异世大陆,相爱相杀",我以荣光书写爱情,2022-12-12,"407,378",百合,原创
1775974,梦里呓语,"1,858",84,784,0,2017-01-01,架空历史,,1,1,1018,她在旧朝的废墟上建起新都。,0000-00-00,-1,2822922,33054,9.7,5689.5万,正剧,"奇幻魔幻,虐恋情深,阴差阳错,异世大陆",我以执着等待重逢,2022-07-22,"282,681",百合,原创
1775974,梦里呓语,"59,269",92,"1,713",0,2019-08-19,近代现代,,1,1,15094,今天也没能低调成功。,0000-00-00,-1,3566683,23872,9.1,2.2亿,正剧,"情有独钟,前世今生,爽文,玄学",山海少女是玄学大佬,2022-11-01,"463,027",言情,原创
1775974,梦里呓语,679,4,35,0,2022-04-18,架空历史,,1,0,111,未来的血与火将在白雪下覆灭。,0000-00-00,-1,6783842,暂无排,,2179万,正剧,"西方名著,青梅竹马,成长,史诗奇幻",[中土+精灵宝钻]昔日之雪,2022-08-02,"15,383",言情,衍生
1775974,梦里呓语,"1,148",14,19,0,2016-04-16,古色古香,,1,0,167,只恨相识未早。,0000-00-00,-1,2733648,暂无排,9.5,2289.4万,悲剧,"情有独钟,虐恋情深,传奇,东方玄幻",[综神话]双月传说,2022-11-14,"40,810",百合,衍生
